player_id,name,team,position,nationality,age,market_value_eur
AN002,Antony,Manchester United,FWD,Brazilian,24,192000000
JA002,Jadon Sancho,Manchester United,FWD,English,24,139000000
DA001,David de Gea,Manchester United,GK,Spanish,34,15000000
AR001,Armando Broja,Manchester United,FWD,Albanian,22,148000000
VA001,Wan-Bissaka,Manchester United,DEF,English,26,37000000
HA001,Harry Maguire,Manchester United,DEF,English,31,41000000
LI001,Lisandro Martínez,Manchester United,DEF,Argentine,25,55000000
AL006,Alexander Isak,Newcastle,FWD,Swedish,25,167000000
MI006,Miguel Almirón,Newcastle,MID,Paraguayan,30,101000000
AN004,Anthony Gordon,Newcastle,FWD,English,24,128000000
JO014,João Cancelo,Newcastle,DEF,Portuguese,30,63000000
TI001,Tino Livramento,Newcastle,DEF,English,22,47000000
DI002,Dirk Kuyt,Newcastle,FWD,Dutch,38,79000000
BR005,Bruno Guimarães,Newcastle,MID,Brazilian,27,85000000
SA002,Sander Berge,Newcastle,MID,Norwegian,26,68000000
NI004,Nick Pope,Newcastle,GK,English,32,47000000
JO015,Joelinton,Newcastle,MID,Brazilian,28,131000000
CR002,Chris Wood,Nottingham Forest,FWD,New Zealand,33,57000000
WA001,Wander,Nottingham Forest,DEF,Brazilian,25,42000000
MU001,Murillo,Nottingham Forest,DEF,Brazilian,22,38000000
AW001,Awoniyi,Nottingham Forest,FWD,Nigerian,26,148000000
MA006,Mats Konoplyanka,Nottingham Forest,MID,Ukrainian,34,124000000
BR003,Brennan Johnson,Nottingham Forest,FWD,English,23,156000000
SC001,Scott McKenna,Nottingham Forest,DEF,Scottish,27,26000000
NE001,Neco Williams,Nottingham Forest,DEF,Welsh,23,61000000
MA007,Matt Turner,Nottingham Forest,GK,American,29,35000000
JO005,Jonjo Shelvey,Nottingham Forest,MID,English,32,140000000
JA009,Jan Bednarek,Southampton,DEF,Polish,28,38000000
CA003,Cameron Archer,Southampton,FWD,English,22,89000000
YU001,Yukinari Sugawara,Southampton,DEF,Japanese,24,29000000
KA003,Kamaldeen Sulemana,Southampton,FWD,Ghanaian,22,197000000
JO008,Joe Aribo,Southampton,MID,Nigerian,28,143000000
GA002,Gavin Bazunu,Southampton,GK,Irish,22,36000000
WY001,Wyles Fleming,Southampton,MID,English,23,87000000
PE003,Pereira Shelvey,Southampton,MID,English,32,145000000
HA002,Harry Souttar,Southampton,DEF,Scottish,24,68000000
RI003,Romain Perraud,Southampton,DEF,French,27,60000000
SO001,Son Heung-min,Tottenham,FWD,South Korean,32,186000000
MA004,Maddison,Tottenham,MID,English,27,68000000
RI001,Richarlison,Tottenham,FWD,Brazilian,27,157000000
DA002,Davinson Sánchez,Tottenham,DEF,Colombian,28,25000000
CR001,Cristian Romero,Tottenham,DEF,Argentine,26,23000000
PI001,Pierre-Emile Højbjerg,Tottenham,MID,Danish,28,150000000
VI002,Vicário,Tottenham,GK,Spanish,27,30000000
PA001,Pape Sarr,Tottenham,MID,Senegalese,22,147000000
YO001,Yves Bissouma,Tottenham,MID,Malian,25,48000000
BR002,Brennan Johnson,Tottenham,FWD,English,23,134000000
DE002,Declan Rice,West Ham,MID,English,25,61000000
MU002,Mohammed Kudus,West Ham,MID,Ghanaian,24,146000000
JA007,Jarrod Bowen,West Ham,FWD,English,27,112000000
LU002,Luiz Guilherme,West Ham,MID,Brazilian,20,113000000
MI002,Michail Antonio,West Ham,FWD,English,34,119000000
PA004,Pape Gueye,West Ham,MID,Senegalese,25,110000000
KU001,Kurt Zouma,West Ham,DEF,French,30,26000000
DA003,Dani Ogbagu,West Ham,DEF,English,26,20000000
AL003,Alphonse Areola,West Ham,GK,French,31,15000000
EM003,Emicrania Bowen,West Ham,DEF,English,27,68000000
GA003,Gary O'Neil,Wolverhampton,MID,English,40,114000000
RA003,Ravel Morrison,Wolverhampton,MID,English,31,73000000
PO001,Pedro Neto,Wolverhampton,MID,Portuguese,24,43000000
SE001,Sérgio Conceição,Wolverhampton,FWD,Portuguese,35,165000000
SA001,Sander Coates,Wolverhampton,DEF,English,26,41000000
JO012,João Moutinho,Wolverhampton,MID,Portuguese,37,109000000
LO001,Lodi Renan,Wolverhampton,DEF,Brazilian,27,79000000
JU002,Jüngün,Wolverhampton,DEF,Turkish,29,75000000
JO013,José Sá,Wolverhampton,GK,Portuguese,31,20000000
TR003,Trent Alexander-Arnold,Wolverhampton,DEF,English,26,55000000
